Lat,Lon,water_depth
28.7000210905477,-82.7399819342414,-29.9060449668196
28.7000530293578,-82.739985440782,-29.8775369499356
28.7001238642231,-82.7399931190711,-30.0268725830906
28.7003348043471,-82.7400160223791,-29.9710372698105
28.7003988718665,-82.7400229065026,-30.0298926681126
28.7003987068722,-82.7400229111856,-29.969675883975
28.7004114577291,-82.7400242869401,-29.9598673622025
28.7004118452649,-82.7400242759406,-30.1013035433058
28.7004308815898,-82.7400263403448,-30.0546181092914
28.7005521655846,-82.7400393454077,-30.0472578051269
28.7006160970919,-82.7400461548239,-30.0958551540219
28.7006799773086,-82.7400529445053,-30.136890195799
28.7007052629236,-82.7400556619524,-30.0599128601001
28.7007117270522,-82.7400563367028,-30.0932077769769
28.7007181218142,-82.7400570133541,-30.1009493252632
28.7007249236866,-82.7400576782549,-30.2573806661882
28.7007754632413,-82.7400631006144,-30.0982976813812
28.700813568696,-82.7400671539892,-30.0566296014737
28.7009097681062,-82.7400772339537,-30.3101731319097
28.7009094715742,-82.7400772423709,-30.2019493595863
28.7009795943482,-82.7400846812557,-30.1459362276905
28.7010366346029,-82.7400906661812,-30.1601774322493
28.7010427474555,-82.7400913370309,-30.0798898094036
28.7010871921691,-82.7400959835711,-30.1225238046318
28.7011189765605,-82.7400992988806,-30.1682603939072
28.7012961606244,-82.7401178760222,-30.1073792763302
28.7013404666311,-82.7401225214159,-30.0868233460316
28.7013657109762,-82.7401251794615,-30.0449746015663
28.7013972799904,-82.7401285032924,-29.994416970922
28.7014924349631,-82.7401384765802,-29.9818145497099
28.7016770825571,-82.7401578319331,-30.0718253401515
28.701715764305,-82.7401618431047,-30.2385332235151
28.701753547606,-82.7401658875554,-30.068258992121
28.7018812487501,-82.7401793851862,-30.0614634434053
28.7018810663715,-82.7401793903644,-29.9949006383065
28.7020472281452,-82.7401971014902,-29.8522282559004
28.7021306938152,-82.740206025227,-29.837849061189
28.7023238756162,-82.7402268248373,-29.7833481041501
28.702421709318,-82.7402373810698,-29.9069681966134
28.7024673229262,-82.7402423323019,-29.9336496495252
28.7025715721002,-82.7402537021579,-29.96637269881
28.7026301722421,-82.7402601284759,-29.9617963370507
28.7026562205061,-82.7402629912591,-29.9594035960304
28.702669261946,-82.740264423374,-29.9650098881248
28.7027672809845,-82.7402751874235,-30.0839952936952
28.7028523506179,-82.7402845488481,-30.2446957205068
28.7029433349432,-82.7402946795811,-30.2142331123528
28.7030537023035,-82.7403070180119,-30.1904977675634
28.7031440302852,-82.7403172149174,-30.0226105870296
28.7032087085349,-82.7403245003683,-29.9988923147866
28.7034283466975,-82.7403492824424,-30.1026535278546
28.7034732985615,-82.7403543870656,-30.086065105662
28.7034733510136,-82.7403543855766,-30.1052084379188
28.7034990809025,-82.7403572992747,-30.1223388538388
28.7035761633097,-82.740366031867,-30.1054616536712
28.7036212102045,-82.740371123922,-30.286025228107
28.703627568718,-82.7403718530471,-30.2855572072765
28.7036843468678,-82.7403784218332,-30.1368019786434
28.7036906011096,-82.7403791525307,-30.1024870896697
28.7037285234356,-82.7403835218243,-30.0509222917056
28.7037602854696,-82.7403871542517,-30.076344784925
28.7037856789766,-82.7403900575744,-30.0976247958963
28.7037913411227,-82.7403908024433,-29.8534160785067
28.7038482013561,-82.7403973302753,-29.8255553247883
28.7038738844805,-82.7404002150147,-29.971897899068
28.7039684430338,-82.7404110519475,-29.9279395071055
28.7040373125793,-82.7404189812341,-29.7617949570055
28.704075842743,-82.7404232669825,-30.0356810321581
28.7042328345676,-82.7404411290985,-29.9565357252253
28.7042963548495,-82.7404482090522,-30.2131363298737
