sea_surf_lat,sea_surf_h
28.7000104559913,-28.2301235198975
28.7000168609093,-28.2421836853027
28.7000168618745,-28.2709846496582
28.700016861305,-28.2539920806885
28.7000232653225,-28.2445850372314
28.7000232648949,-28.2318267822266
28.7000296684647,-28.2430400848389
28.7000296691163,-28.2624855041504
28.7000296713811,-28.3300647735596
28.7000296686081,-28.2473201751709
28.7000360723158,-28.2397766113281
28.7000360748545,-28.3155307769775
28.7000424759028,-28.2343330383301
28.7000424771848,-28.2725868225098
28.7000424771231,-28.2707462310791
28.700042480154,-28.3611869812012
28.7000424752652,-28.2153072357178
28.7000488765546,-28.204044342041
28.7000552811737,-28.2410831451416
28.7000552789998,-28.176212310791
28.7000552812345,-28.2428970336914
28.700061681774,-28.1641883850098
28.7000616856,-28.2783546447754
28.7000616816085,-28.1592502593994
28.7000680856292,-28.1904983520508
28.7000680863721,-28.2126636505127
28.7000744896794,-28.2287979125977
28.7000744871372,-28.1529388427734
28.700074493661,-28.3476066589355
28.7000808933009,-28.2605667114258
28.7000872960634,-28.2730579376221
28.7000872984773,-28.3450870513916
28.7000937006694,-28.3470001220703
28.700100098346,-28.2206993103027
28.7001001007978,-28.2938594818115
28.7001000960757,-28.1529560089111
28.7001065009403,-28.2477607727051
28.7001129036991,-28.2864303588867
28.7001129004275,-28.1888084411621
28.7001129012896,-28.2145328521729
28.7001129002814,-28.1844482421875
28.700125705675,-28.3049945831299
28.7001321014769,-28.1566867828369
28.7001385032387,-28.1647930145264
28.7001385024301,-28.1406650543213
28.7001449051661,-28.2134170532227
28.7001449047466,-28.2008991241455
28.7001513032744,-28.1552791595459
28.7001513055008,-28.2217121124268
28.7001513076293,-28.2852230072021
28.7001513067884,-28.2601318359375
28.7001577049269,-28.2101631164551
28.7001577067931,-28.2658519744873
28.7001577025571,-28.1394519805908
28.7001641020057,-28.1643810272217
28.7001705064344,-28.3168811798096
28.7001705031959,-28.2202472686768
28.7001705026874,-28.2050743103027
28.7001705043955,-28.2560405731201
28.7001705044761,-28.2584457397461
28.7001896976852,-28.1621494293213
28.7001896974463,-28.1550216674805
28.7001896950704,-28.0841274261475
28.7001896947943,-28.0758895874023
28.70018969832,-28.1810932159424
28.7001960943745,-28.1141452789307
28.7002024938858,-28.158130645752
28.7002024933415,-28.1418914794922
28.7002024940062,-28.1617240905762
28.7002024956003,-28.2092895507812
28.7002088899195,-28.106201171875
28.7002088924944,-28.1830368041992
28.7002152899315,-28.1809024810791
28.7002152938751,-28.2985744476318
28.7002152914959,-28.2275810241699
28.7002216880719,-28.20774269104
28.7002216895207,-28.2509746551514
28.7002216884472,-28.2189426422119
28.7002216910852,-28.2976570129395
28.7002280875225,-28.2817287445068
28.7002280870116,-28.266487121582
28.7002344834382,-28.2583560943604
28.7002408780426,-28.204029083252
28.7002408760661,-28.1450538635254
28.7002408762765,-28.151330947876
28.7002472761913,-28.2637023925781
28.7002472718132,-28.1330623626709
28.7002472727694,-28.1615943908691
28.7002472749496,-28.2266502380371
28.7002536679804,-28.1703433990479
28.7002600620533,-28.1819229125977
28.700266461934,-28.3183403015137
28.7002664604408,-28.2737865447998
28.7002728562787,-28.298038482666
28.7002856443494,-28.2646026611328
28.7002856453215,-28.2936096191406
28.700292037903,-28.2464294433594
28.7002920374395,-28.2325973510742
28.7002920361917,-28.1953639984131
28.7002920368549,-28.2151527404785
28.7002984325088,-28.26833152771
28.7002984303198,-28.2030143737793
28.7002984303915,-28.2051525115967
28.7002984282536,-28.1413631439209
28.7003112172828,-28.2039260864258
28.7003112197924,-28.2788105010986
28.7003112170222,-28.1961498260498
28.7003176090173,-28.1664848327637
28.7003176076,-28.1241931915283
28.7003240058696,-28.2906246185303
28.7003240048266,-28.25950050354
28.7003240057729,-28.2877388000488
28.7003240025353,-28.1911315917969
28.7003240027361,-28.1971244812012
28.7003303972353,-28.2599620819092
28.700336788574,-28.2374515533447
28.700336792386,-28.3511962890625
28.7003431829972,-28.315975189209
28.7003431800381,-28.2276802062988
28.7003431819963,-28.2861099243164
28.7003495700396,-28.2117214202881
28.7003559622094,-28.2411212921143
28.7003559595888,-28.1629276275635
28.7003559609905,-28.2047538757324
28.7003687414203,-28.1458511352539
28.7003751322662,-28.1631965637207
28.700375135768,-28.2676868438721
28.7003751302582,-28.1032791137695
28.7003815262612,-28.2837257385254
28.7003815201224,-28.1005516052246
28.7003815213196,-28.1362743377686
28.7003879113195,-28.1752529144287
28.7003879111515,-28.170238494873
28.7003943000864,-28.1583061218262
28.7003942992127,-28.1322364807129
28.7003943030039,-28.2453594207764
28.7004006885002,-28.1401348114014
28.7004006914401,-28.2278575897217
28.7004006894734,-28.1691741943359
28.7004070793552,-28.204137802124
28.7004070797102,-28.2147331237793
28.700407077961,-28.1625366210938
28.700413470609,-28.2894077301025
28.7004134685581,-28.2282085418701
28.7004198562191,-28.1872577667236
28.7004262438292,-28.2109985351562
28.7004262434641,-28.2001056671143
28.7004326291185,-28.1465225219727
28.7004326303394,-28.1829528808594
28.7004326350146,-28.3224544525146
28.7004390182923,-28.207405090332
28.7004390171849,-28.1743621826172
28.7004454066499,-28.2534084320068
28.7004517968377,-28.3635063171387
28.7004517946833,-28.299222946167
28.7004581757343,-28.1461963653564
28.7004581741991,-28.1003894805908
28.7004581786844,-28.234224319458
28.7004581753346,-28.1342716217041
28.7004645602556,-28.1062393188477
28.7004645632752,-28.1963424682617
28.7004645616669,-28.1483516693115
28.7004709454578,-28.1529197692871
28.7004709437819,-28.102912902832
28.7004709465682,-28.1860504150391
28.7004709472361,-28.2059803009033
28.7004773347162,-28.2733898162842
28.7004773360959,-28.3145561218262
28.7004773309419,-28.1607685089111
28.7004773335386,-28.2382488250732
28.7004837187842,-28.2748565673828
28.700483716668,-28.2117137908936
28.7004837187639,-28.2742500305176
28.7004837155726,-28.179027557373
28.7004901014604,-28.2180404663086
28.7004964838078,-28.1609859466553
28.7005028722035,-28.2939796447754
28.7005092545658,-28.2281513214111
28.7005092580623,-28.3324813842773
28.7005092543575,-28.2219352722168
28.7005156388514,-28.2860565185547
28.7005156372473,-28.2381935119629
28.7005156367122,-28.2222270965576
28.7005156372232,-28.2374744415283
28.7005284030281,-28.242748260498
28.7005284039747,-28.2709922790527
28.7005411647812,-28.1654644012451
28.700541168814,-28.2858009338379
28.7005411649155,-28.1694736480713
28.7005411669467,-28.2300815582275
28.700541166141,-28.2060413360596
28.7005475472248,-28.1879577636719
28.7005475475405,-28.1973762512207
28.7005475482299,-28.2179470062256
28.7005539327392,-28.3116512298584
28.7005539309298,-28.2576599121094
28.7005539314369,-28.2727928161621
28.7005539298076,-28.2241764068604
28.7005603100423,-28.1999015808105
28.7005603112671,-28.2364463806152
28.7005603091258,-28.1725521087646
28.7005666906123,-28.1951866149902
28.7005666940615,-28.2981052398682
28.7005730711886,-28.2285785675049
28.7005730701807,-28.19850730896
28.7005730678734,-28.12965965271
28.7005730704903,-28.2077445983887
28.7005794479769,-28.1017475128174
28.7005794512244,-28.1986484527588
28.7005794539171,-28.278995513916
28.7005794523398,-28.2319297790527
28.7005858297069,-28.1602592468262
28.7005858316511,-28.2182731628418
28.7005858300676,-28.1710224151611
28.700585834267,-28.296329498291
28.7005858346295,-28.3071441650391
28.7005922098527,-28.1810150146484
28.700592212134,-28.2490863800049
28.7005922116386,-28.2343044281006
28.7005985902133,-28.2176723480225
28.7005985889455,-28.1798419952393
28.700598590222,-28.2179317474365
28.7006049698362,-28.2417964935303
28.7006049661434,-28.1316089630127
28.7006113505672,-28.3368072509766
28.7006113465765,-28.2177295684814
28.700611349623,-28.3086338043213
28.7006113509226,-28.347412109375
28.7006177230332,-28.1662750244141
28.7006304797771,-28.2058944702148
28.7006304783167,-28.1623191833496
28.7006304795896,-28.2003002166748
28.7006368580347,-28.2080078125
28.7006368607859,-28.2901000976562
28.7006368637506,-28.3785648345947
28.700636861277,-28.3047542572021
28.7006432355678,-28.2262001037598
28.7006496123181,-28.2587013244629
28.7006496139429,-28.3071842193604
28.7006496147504,-28.3312797546387
28.7006496128575,-28.2747955322266
28.7006496124441,-28.2624626159668
28.7006496144385,-28.3219738006592
28.7006559864368,-28.1936149597168
28.7006559867979,-28.2043895721436
28.7006559858292,-28.1754837036133
28.7006559919401,-28.3578281402588
28.7006623650089,-28.2684879302979
28.7006623652206,-28.2748050689697
28.7006623652657,-28.2761516571045
28.7006623627571,-28.2012939453125
28.7006623635286,-28.2243156433105
28.7006623609407,-28.1470947265625
28.7006623648693,-28.2643222808838
28.7006687379407,-28.1864681243896
28.7006687404802,-28.2622451782227
28.7006751138912,-28.2037124633789
28.7006751165618,-28.2834014892578
28.7006751125378,-28.1633281707764
28.7006751159892,-28.2663173675537
28.7006814867271,-28.1371822357178
28.7006814904958,-28.2496356964111
28.7006814911676,-28.2696800231934
