sea_down_lat,sea_down_h
28.7000169342817,-30.4316005706787
28.7000489499246,-30.3933773040771
28.7001193823215,-30.5936050415039
28.7002409247894,-29.5989036560059
28.7002665437816,-30.7605781555176
28.7003113162713,-31.157621383667
28.7003304729349,-30.518741607666
28.7003624242329,-30.335563659668
28.7003880025203,-30.8965644836426
28.7003943818376,-30.5976543426514
28.7003943791318,-30.5169162750244
28.7004071564238,-30.5037651062012
28.7004071627792,-30.6934013366699
28.7004263249254,-30.6308059692383
28.7005029015489,-29.1696109771729
28.700509285339,-29.1463851928711
28.7005476287622,-30.6209373474121
28.7005795108236,-29.9770240783691
28.7005859319674,-31.2116012573242
28.7006114292994,-30.6860961914062
28.7006178501265,-31.9280414581299
28.7006624544456,-30.9372043609619
28.7006751989271,-30.7411155700684
28.7007006920019,-30.6379051208496
28.700707066399,-30.6825466156006
28.7007134402972,-30.6929264068604
28.7007198205778,-30.9026679992676
28.7007707888734,-30.6893711090088
28.700777131859,-29.8359909057617
28.7007899121469,-31.0537433624268
28.7008089808284,-29.863655090332
28.7008090066277,-30.6335029602051
28.7008090057994,-30.6087837219238
28.7008792666259,-37.0342292785645
28.7009045227279,-30.9734516143799
28.7009045178652,-30.8283462524414
28.7009171872005,-29.0130805969238
28.7009684667365,-31.0335636138916
28.7009747916011,-30.7532444000244
28.7010317934778,-30.7723388671875
28.7010381227102,-30.6646900177002
28.701044609217,-35.222469329834
28.7010698178008,-31.6210556030273
28.7010824525249,-30.7218532562256
28.7010950789205,-29.5768337249756
28.7011141136553,-30.7831764221191
28.7011267363285,-29.5239028930664
28.7011964575501,-31.3203659057617
28.7012281187492,-31.0640850067139
28.70124712078,-31.0025901794434
28.7012724680988,-31.1627426147461
28.7012788695814,-33.0831184387207
28.7012914618053,-30.7015476226807
28.7013104813786,-30.935302734375
28.7013358232132,-30.6739864349365
28.7013611803436,-30.6178760528564
28.7013928856144,-30.5500888824463
28.7014435924962,-29.1272926330566
28.7014880745552,-30.5331916809082
28.7014944159468,-30.2729587554932
28.7015134261124,-28.9740333557129
28.7015197812993,-29.0581207275391
28.7015579117252,-29.2536144256592
28.7015770082698,-29.9643955230713
28.7015770403894,-30.923152923584
28.7016278661858,-29.1311054229736
28.7016470034591,-30.4268798828125
28.7016724795749,-30.6538772583008
28.7016980818336,-34.2638168334961
28.7017042758143,-28.9817180633545
28.7017107120408,-30.8773975372314
28.7017489542388,-30.6490955352783
28.701800016838,-31.0769596099854
28.701799993908,-30.3924808502197
28.701851047289,-28.9894943237305
28.7018702731218,-30.44580078125
28.7018766877609,-31.0596313476562
28.7018766737028,-30.6399841308594
28.701876670713,-30.5507373809814
28.7020047103487,-29.8282642364502
28.7020175264979,-29.5243968963623
28.7020432169998,-30.3594436645508
28.7021267214253,-30.3401641845703
28.7021460680692,-31.9075012207031
28.7021653210878,-30.5595302581787
28.7021781978752,-30.7835159301758
28.7022940462742,-29.3697376251221
28.7023070540632,-30.0510768890381
28.702320050115,-30.26708984375
28.7023395006462,-29.1364860534668
28.7024045597732,-30.9203624725342
28.7024175506621,-30.4328384399414
28.7024630923651,-30.4686126708984
28.7025346517923,-29.2153778076172
28.7025672533544,-30.512487411499
28.7026258658321,-30.5063514709473
28.7026519205455,-30.5031433105469
28.702664946877,-30.5106601715088
28.7026651667292,-37.0083770751953
28.7026844364508,-28.9926834106445
28.7026975384631,-31.238353729248
28.702710541292,-30.5345840454102
28.7027561467446,-31.0709934234619
28.702762645253,-30.6701946258545
28.7028407594548,-30.4628124237061
28.7028472818014,-30.8856601715088
28.7028668099977,-31.0652046203613
28.7028992768195,-29.2565650939941
28.7029383811818,-31.7970428466797
28.7029383482281,-30.8448162078857
28.7029642923911,-29.1432151794434
28.70297728343,-28.9635791778564
28.7030487795603,-30.8129920959473
28.7030617466743,-30.4497394561768
28.7031135832656,-28.9831466674805
28.703133075188,-30.4560642242432
28.7031395600021,-30.587890625
28.7031395245555,-29.5309906005859
28.7031524807779,-29.5318603515625
28.7031655428111,-32.7934265136719
28.703171889606,-29.0039443969727
28.7032043021751,-30.5560894012451
28.7032042827643,-29.9773559570312
28.7032754978191,-33.2856864929199
28.7033914331652,-29.1876010894775
28.703391490803,-30.9058475494385
28.7034236607114,-30.6952114105225
28.7034686572831,-30.6729698181152
28.7034686581441,-30.698637008667
28.7034943418679,-30.7216053009033
28.7035140983883,-30.6017436981201
28.7035332473464,-31.0583457946777
28.7035396438526,-31.6487560272217
28.7035396864102,-32.9173431396484
28.7035587942896,-32.5681800842285
28.7035714697624,-30.6989765167236
28.7035969504018,-31.1184310913086
28.7036160300429,-30.9410743713379
28.703622389818,-30.9404468536377
28.7036350403034,-28.9576778411865
28.7036544108034,-38.0219612121582
28.7036795688637,-30.7409973144531
28.7036859155839,-30.6949882507324
28.7037239768779,-30.6258506774902
28.7037429568286,-29.4739837646484
28.7037556704001,-30.6599369049072
28.703781006559,-30.6884689331055
28.7037809607465,-29.3227348327637
28.7037873268434,-30.3610363006592
28.7037936514894,-30.1933612823486
28.7038442621632,-30.3236808776855
28.7038695508983,-30.5198955535889
28.7039011309402,-30.5550880432129
28.7039011021781,-29.6975803375244
28.7039642279225,-30.4609565734863
28.7039957322046,-29.9393672943115
28.7040335452262,-30.2381916046143
28.7040587034321,-29.349609375
28.7040650477889,-30.7726802825928
28.7040712843487,-29.0272274017334
28.7040713372755,-30.6054153442383
28.7040776365922,-30.7487888336182
28.704109042703,-29.0457324981689
28.7041719730719,-30.311279296875
28.7042159330181,-29.211877822876
28.7042285140625,-29.6541481018066
28.7042285424012,-30.4992980957031
28.704259931859,-29.8224716186523
28.7042724660098,-28.9659423828125
28.7042913711552,-30.8433456420898
28.7043039255542,-30.6683979034424
28.7043228356775,-32.8489875793457
28.7043415423207,-28.9880123138428
28.7043478878812,-30.9819431304932
28.7044168922736,-29.3751544952393
28.7044608248181,-29.0937881469727
28.7044923082748,-31.900707244873
28.7044984984039,-29.3143253326416
28.7046366902052,-30.6569366455078
28.7046429756136,-30.7585716247559
28.7046743821484,-30.5511322021484
28.7046806712333,-30.7081146240234
28.7047122970802,-36.6625671386719
28.7047936514865,-30.6139125823975
28.7048125993737,-31.3081340789795
28.7048315108568,-30.791482925415
28.7048630946974,-31.541675567627
28.7049261835121,-29.6854381561279
28.7049262122787,-30.5439987182617
28.7049451374368,-29.6241474151611
28.7049451677429,-30.5286674499512
28.7049514611169,-29.7986793518066
28.7049578134068,-30.7550296783447
28.7049640938426,-29.5508556365967
28.7050336582656,-29.5776977539062
28.7050779880755,-30.3753833770752
28.7051160040556,-30.9977321624756
28.7051286690019,-30.8212585449219
28.705192037542,-30.4409713745117
28.7052110817215,-30.9696769714355
28.7052366075831,-35.3907012939453
28.7052745318308,-30.6972694396973
28.7052935882989,-30.946174621582
28.7053062779894,-30.5703735351562
28.7053126598754,-31.431734085083
28.7053635132741,-31.9243125915527
28.7053698311489,-30.7812328338623
28.7053697703867,-28.9673137664795
28.70538884799,-29.129789352417
28.7053952546726,-30.5390472412109
28.7054588885881,-30.7778186798096
28.7055098301072,-30.8213005065918
28.705516194975,-30.6648864746094
28.7055544344945,-30.8853607177734
28.7056245121684,-29.049488067627
28.7056309488069,-30.7214431762695
28.7056500910963,-30.7545700073242
28.7056947778754,-30.8776416778564
28.705707609281,-32.6500701904297
28.7057267138604,-31.0524368286133
28.7057714292744,-30.8092994689941
28.7058034177451,-31.7044696807861
28.7058290058147,-32.1043663024902
28.7058993322023,-30.8674087524414
28.7059441376105,-30.8444766998291
28.7059569428612,-30.8426532745361
28.7060209320298,-29.1399383544922
28.7060338050762,-30.8983783721924
28.7060466143728,-31.1027507781982
28.7060530179744,-30.9096374511719
28.7060723402149,-33.6499710083008
28.7061299061588,-29.5464553833008
28.7061427754536,-30.8159122467041
28.7061429383459,-35.6175155639648
28.7061876167671,-28.9846286773682
28.7062584804056,-37.2587890625
28.706264740081,-32.5494117736816
28.7063031335497,-28.9413433074951
28.7063095677224,-29.394100189209
28.7063416757977,-29.5242347717285
28.7063417145538,-30.6811389923096
28.706367344435,-29.048225402832
28.7063930903709,-30.7696208953857
28.7063994907759,-30.1110248565674
28.7063996970293,-36.2065811157227
28.7064059152695,-30.1668968200684
28.706438055939,-30.922248840332
28.7065151441866,-30.9682064056396
28.7065215878429,-31.4997406005859
28.7066243620837,-30.5640106201172
28.7066436880376,-31.9651851654053
28.706675976338,-36.7271919250488
28.7066950505096,-30.6864757537842
28.7067014217713,-29.0173492431641
28.7067207021139,-29.0945224761963
28.706733846645,-37.7501754760742
28.7067593318737,-31.2257118225098
28.7068106910837,-29.8055095672607
28.7068107100665,-30.3720626831055
28.706836416028,-30.4160461425781
28.7068428463449,-30.5803489685059
28.7068685505945,-30.6310577392578
28.7069006477928,-29.8325309753418
28.7069070471065,-29.0611400604248
28.7069199556511,-30.7768497467041
28.7069520661389,-30.4067306518555
28.7070034549343,-30.2659931182861
28.7070098441491,-29.2359104156494
28.7070100017178,-33.9076995849609
28.7070355836074,-30.6258010864258
28.7071190220857,-29.0902423858643
28.7071832313786,-29.121208190918
28.7071832271856,-28.9960803985596
28.7072025911332,-32.070556640625
28.7072475738824,-33.5147857666016
28.7072474693304,-30.4254417419434
28.7072667186556,-30.250467300415
28.7072923942194,-30.4066162109375
28.7073694256698,-29.36350440979
28.7073952969579,-36.6218757629395
28.7074399566497,-31.2474803924561
28.7074911775427,-30.7890644073486
28.7075359715385,-29.9491157531738
28.7076384299046,-30.7089233398438
28.7077152441,-30.95703125
28.70771522809,-30.509895324707
28.7077600250344,-30.561544418335
28.7077728208954,-30.4846172332764
28.7078239642653,-29.096212387085
28.707824032021,-31.0873126983643
28.7078432193813,-30.8752059936523
28.707875207165,-30.7948989868164
28.7079199938236,-30.8180503845215
28.7079327878772,-30.7718620300293
28.7079711708238,-30.7653579711914
28.707971137362,-29.7669525146484
28.7079711826515,-31.0876960754395
28.7080031695712,-31.0375308990479
28.7081247082813,-30.7379760742188
28.7081950721836,-30.5974388122559
28.708195075155,-30.686092376709
28.7082014391692,-29.6552410125732
28.7082079033807,-31.6110553741455
28.7082974423212,-30.7369213104248
28.7082974459592,-30.8454685211182
28.7083357872986,-29.4085655212402
28.7083614440068,-31.2514896392822
28.7083934115619,-30.5927810668945
28.7084062138708,-30.7260131835938
28.7084190200215,-30.9387722015381
28.7084446047203,-30.612211227417
28.70845740533,-30.698148727417
28.7084637506789,-29.0845851898193
28.70847658144,-30.030948638916
28.7085662029823,-30.6643257141113
28.7085727124547,-33.8847694396973
28.7085789533278,-29.15065574646
28.7086109930475,-34.4324111938477
28.7086365113311,-30.7462558746338
28.7087454918366,-30.4339275360107
28.7088224411871,-30.7701816558838
28.7088224276659,-30.366792678833
28.7089506204827,-29.198112487793
28.708950615863,-29.0602931976318
28.7089955500832,-30.7353191375732
28.7090404148883,-30.5170631408691
28.709059597774,-29.0534038543701
28.7090724573574,-30.227258682251
28.7090791732349,-39.3200874328613
28.7091301564914,-30.6368980407715
28.7091943588171,-34.0994186401367
28.7092455073619,-30.899227142334
28.7092455121041,-31.0406913757324
28.7092646683875,-29.1829586029053
28.7094312270575,-30.7783012390137
28.709495186835,-29.5361404418945
28.7095079677512,-29.0131416320801
28.7095143658804,-28.9904499053955
28.7095336031643,-30.2708263397217
28.7095464027285,-30.3566761016846
28.7095783885409,-30.4018173217773
28.7095847971075,-30.7359466552734
28.7095911971186,-30.8525676727295
28.7095911343977,-29.0121974945068
28.7096039760589,-30.4806537628174
28.7096423525887,-30.7158527374268
28.7097637757442,-30.3172168731689
28.7097701316238,-29.3294982910156
28.7097893337426,-30.4252967834473
28.7098021026942,-30.2556953430176
28.7098212239347,-29.0584983825684
28.7098212723299,-30.5020904541016
28.7098340460649,-30.5268001556396
28.709872351684,-30.3838901519775
28.7098787370131,-30.4108219146729
28.7099171637828,-31.3405990600586
28.7099234736663,-29.4720973968506
28.7099489974881,-30.4633407592773
28.7100063057718,-29.4876079559326
28.710019076316,-30.4348049163818
28.7100317687635,-29.0501880645752
28.7100827473296,-30.0199432373047
28.710101853329,-30.2206115722656
28.710120952857,-30.2273731231689
28.7101592708168,-33.9453201293945
28.7101654932611,-29.7270984649658
28.7101782540419,-30.6386108398438
28.7101782520318,-30.6092090606689
28.7101973351511,-30.3305130004883
28.710203701435,-30.4022464752197
28.7102164276505,-30.3756313323975
28.7102418848748,-30.5237102508545
28.7102991369543,-30.4086170196533
28.710375502352,-31.5005474090576
28.7103881777476,-30.200855255127
28.7103945507341,-30.593957901001
28.7104136295999,-30.5937061309814
28.7104645231108,-31.1636543273926
28.7104772283192,-30.7929801940918
28.710509006962,-30.4782905578613
28.7105153370486,-29.6319332122803
28.7105345299761,-33.1165618896484
28.7105471705518,-30.8503608703613
28.7105662420691,-30.7574481964111
28.7105725945143,-30.5878372192383
28.7105725905865,-30.5012187957764
28.7105853409269,-31.4894618988037
28.7106934004791,-30.7140960693359
28.7107633373218,-30.649543762207
28.710807798057,-29.2243156433105
28.7108396113015,-29.7698383331299
28.7108523592564,-30.6192264556885
28.7108904931063,-29.9521102905273
28.7109095899261,-30.4897060394287
28.710973202015,-30.713737487793
28.7109986403214,-30.5391597747803
28.7110177218724,-30.4657573699951
28.711043135242,-29.420389175415
28.7110686272113,-30.629467010498
28.711068621554,-30.4912300109863
28.7111131701512,-30.6142425537109
28.7111386206219,-30.4949741363525
28.7111449547586,-29.5897674560547
28.7111894123429,-29.0554008483887
28.7111894617739,-30.499828338623
28.7111958377266,-30.5828952789307
28.7112213289912,-30.5237636566162
28.7112340763139,-30.503490447998
28.7112340868659,-30.818359375
28.7112850774394,-30.5969390869141
28.7112978350112,-30.7950916290283
28.7113105976068,-31.1545295715332
28.7113169536827,-30.5327911376953
28.7113233185559,-30.2283058166504
28.7113870861192,-30.2843227386475
28.7113934957103,-31.2087554931641
28.7114126120122,-30.6944274902344
28.7114380710467,-29.1098537445068
28.7114572649714,-30.8310642242432
28.7115083084055,-31.0799903869629
28.7115465804434,-30.8117694854736
28.711565796772,-33.0308418273926
28.7115912550505,-31.1529483795166
28.7115912064861,-29.734317779541
28.7115975886711,-29.7617473602295
28.711616724582,-29.5089836120605
28.7116231928674,-32.0636444091797
28.7116231610766,-31.1149787902832
28.7116231119811,-29.6804962158203
28.7116295638464,-31.7423706054688
28.7116997264635,-30.4732780456543
28.7117380355896,-30.8087635040283
28.7117444182515,-30.8197059631348
28.7117762883561,-29.4417304992676
28.7118146402199,-30.9548568725586
28.7118337853413,-30.7375507354736
28.7118402722899,-33.8028373718262
28.711846553989,-30.7415294647217
28.7118720888367,-30.6566734313965
28.7119042161666,-36.7154922485352
28.7119231683907,-30.7090015411377
28.7119231146466,-29.135778427124
28.7119487662104,-32.4634323120117
28.7119870231362,-30.8456058502197
28.7120125537905,-30.5781116485596
28.712025337538,-30.9895629882812
28.712050872901,-30.7584381103516
28.712057272684,-31.1815662384033
28.7121402750971,-30.8421421051025
28.7122489679884,-34.858283996582
28.7122616067289,-30.8840713500977
28.7122615672983,-29.7379741668701
28.7122807594691,-30.7272529602051
28.712299924615,-30.9690895080566
28.7122999139652,-30.6512851715088
28.7123126875986,-30.6719913482666
28.7123256191014,-35.430305480957
28.712376661831,-34.1157989501953
28.7124021016937,-31.016529083252
28.7124149624216,-33.6982612609863
28.7125617190923,-30.9451637268066
28.7126063819411,-30.8243579864502
28.7126382865631,-30.8050899505615
28.7126765857754,-31.2291812896729
28.7126892733007,-29.0513553619385
28.7126958842163,-35.8430709838867
28.7127148631876,-30.9488468170166
28.7127212546642,-31.2497749328613
28.7127340031559,-30.8465938568115
28.7127468209289,-32.4522933959961
28.7127722753605,-30.3307991027832
28.7127724203243,-34.6568374633789
28.7127723446377,-32.3981857299805
28.7127914376055,-30.8371524810791
28.7127978233962,-30.9265003204346
28.7128426432824,-35.2703132629395
28.7128489793068,-33.9216766357422
28.7128552285253,-30.0376758575439
28.7129126886959,-30.5362682342529
28.712982894153,-30.2544708251953
28.7129892895021,-30.5709095001221
28.713059517052,-30.6292953491211
28.7130786658488,-30.5127601623535
28.7130850692795,-31.0609321594238
28.7130977774147,-29.2590370178223
28.7131042885928,-32.954761505127
28.7131042123107,-30.6782989501953
28.7131169492216,-29.6906051635742
28.7131169764689,-30.473165512085
28.7131552922968,-30.50705909729
28.7131680792664,-30.9310874938965
28.7131680291353,-29.4656105041504
28.7131936369041,-31.251672744751
28.7131999773786,-29.8933067321777
28.7132191163945,-29.2142810821533
28.7132702675722,-30.6322822570801
28.7133277632695,-30.5158214569092
28.7133597068453,-30.3485298156738
28.7133660980511,-30.3708648681641
28.7135005558576,-37.0837745666504
28.7135450891802,-30.3343544006348
28.713545068652,-29.7523174285889
28.7135514847084,-30.3493194580078
28.7135578826517,-30.4313125610352
28.7136218736786,-31.3442878723145
28.7136345892148,-29.0204067230225
28.713641031999,-30.3427886962891
28.7136410361961,-30.46803855896
28.7136602236972,-30.2918148040771
28.7136922187979,-30.3668212890625
28.7136985701329,-28.9732475280762
28.7136986217587,-30.4832916259766
28.7137050193964,-30.4355030059814
28.7137114435882,-31.048807144165
28.7137306210057,-30.4352149963379
28.7137370241012,-30.5367946624756
28.7137370219864,-30.4736862182617
28.7137370224313,-30.4869632720947
28.7137498032559,-29.9472923278809
28.7137562279322,-30.6458625793457
28.7138010958714,-32.4677963256836
28.7138138318931,-30.4477519989014
28.7138138397769,-30.6830177307129
28.7138650391623,-30.0644874572754
28.7138650590007,-30.625919342041
28.7139483037374,-30.204906463623
28.713986749749,-30.40553855896
28.7140124082441,-31.2546005249023
28.714025197545,-30.4543285369873
28.7140700598167,-30.4811954498291
28.7140828549736,-29.7857646942139
28.7141213572768,-30.9311180114746
28.7141341935605,-31.3444232940674
28.7141406202047,-31.8536491394043
28.7141470150451,-31.3514347076416
28.7141662010564,-29.9140605926514
28.7141918729783,-30.4901905059814
28.7142046646083,-29.5123481750488
28.7142111093481,-30.4153232574463
28.7142304482581,-33.2961654663086
28.7142367322134,-29.4704055786133
28.7142559835128,-29.7038421630859
28.7142624200386,-30.3205738067627
28.7142623728562,-28.9432792663574
28.714268840718,-30.4899997711182
28.7142689061207,-32.4415283203125
28.7142816634802,-30.2589282989502
28.7143265854477,-30.5573539733887
28.7143393880322,-29.6956539154053
28.7143522497877,-30.5461044311523
28.7143650781156,-30.3559646606445
28.7143716024858,-33.5422973632812
28.7143715139402,-30.9002990722656
28.7143843380941,-30.5581569671631
28.7144228537495,-30.713737487793
28.7144292644528,-30.4972076416016
28.7144356850068,-30.541805267334
28.7144357273842,-31.8062286376953
28.7144420951411,-30.2712955474854
28.7144549038296,-29.3742828369141
28.714454971409,-31.3600807189941
28.7145319890266,-30.5964260101318
28.7145319825096,-30.401985168457
28.7145640857145,-30.3744716644287
28.7145833551241,-30.4888877868652
28.7146218833724,-30.3157520294189
28.7146347409791,-30.6770687103271
28.7146475790508,-30.4440860748291
28.7146475774445,-30.3961639404297
28.7146604225309,-30.3899593353271
